"disaster subtype",region,"disaster group",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
Rockfall,"Central America",Natural,1,23,0,0,0,0,0
Rockfall,"Northern Africa",Natural,2,129,0,72,625,697,0
Rockfall,"Northern America",Natural,2,94,0,41,0,41,0
Rockfall,"South America",Natural,2,193,0,0,0,0,0
Rockfall,"South-Eastern Asia",Natural,2,62,0,0,55,55,0
"Severe winter conditions","Central America",Natural,1,0,8141,0,0,8141,0
"Severe winter conditions","Central Asia",Natural,4,1,2007500,0,0,2007500,840000
"Severe winter conditions","Eastern Asia",Natural,3,145,77050000,650,0,77050650,21120200
"Severe winter conditions","Eastern Europe",Natural,14,1281,90000,14279,0,104279,1000000
"Severe winter conditions","Northern America",Natural,3,29,0,0,0,0,0
"Severe winter conditions","Northern Europe",Natural,4,44,0,0,0,0,0
"Severe winter conditions","South America",Natural,9,83,1022976,0,5247,1028223,1000000
"Severe winter conditions","Southern Asia",Natural,6,1912,271502,250,0,271752,0
"Severe winter conditions","Southern Europe",Natural,12,110,325779,500,1340,327619,0
"Severe winter conditions","Western Asia",Natural,3,17,20000,150,0,20150,0
"Severe winter conditions","Western Europe",Natural,7,15,0,200,0,200,0
Subsidence,"Northern Africa",Natural,1,34,300,0,0,300,0
Subsidence,"South-Eastern Asia",Natural,1,287,2800,38,0,2838,0
"Tropical cyclone","Australia and New Zealand",Natural,41,223,83070,707,9090,92867,9746604
"Tropical cyclone",Caribbean,Natural,302,29501,18467179,18923,1911723,20397825,34518988
"Tropical cyclone","Central America",Natural,172,40489,14242964,23374,761931,15028269,41865576
"Tropical cyclone","Central Asia",Natural,1,0,0,0,1500,1500,200
"Tropical cyclone","Eastern Africa",Natural,108,3813,13003666,8955,1737895,14750516,3149528
"Tropical cyclone","Eastern Asia",Natural,438,236159,274226312,61148,2442473,276729933,144297437
"Tropical cyclone","Eastern Europe",Natural,10,52,22045,107,300,22452,134650
"Tropical cyclone",Melanesia,Natural,97,1269,1691231,1546,133607,1826384,683136
"Tropical cyclone",Micronesia,Natural,21,82,25944,721,23277,49942,1007645
"Tropical cyclone","Middle Africa",Natural,1,17,0,2500,20000,22500,0
"Tropical cyclone","Northern Africa",Natural,1,1,0,0,0,0,50
"Tropical cyclone","Northern America",Natural,118,16205,13165727,380,346419,13512526,402521910
"Tropical cyclone","Northern Europe",Natural,4,18,12000,0,0,12000,304000
"Tropical cyclone",Polynesia,Natural,58,197,555462,380,82377,638219,1010379
"Tropical cyclone","South America",Natural,9,674,834719,1195,5580,841494,417000
"Tropical cyclone","South-Eastern Asia",Natural,430,215233,198130615,103548,11081055,209315218,30422211
"Tropical cyclone","Southern Africa",Natural,3,117,1133350,0,500,1133850,146152
"Tropical cyclone","Southern Asia",Natural,207,798975,161314473,894038,19705074,181913585,23547311
"Tropical cyclone","Southern Europe",Natural,5,130,60200,30,0,60230,1378200
"Tropical cyclone","Western Africa",Natural,4,33,9322,125,3700,13147,3000
"Tropical cyclone","Western Asia",Natural,5,218,25050,281,0,25331,4950000
"Tropical cyclone","Western Europe",Natural,3,1,0,0,0,0,510
Tsunami,"Central America",Natural,1,185,0,0,0,0,0
Tsunami,"Eastern Africa",Natural,4,312,109560,283,70,109913,230000
Tsunami,"Eastern Asia",Natural,15,32623,428389,6938,1620,436947,212821000
Tsunami,"Eastern Europe",Natural,1,47,0,0,0,0,0
Tsunami,Melanesia,Natural,8,2617,14903,677,0,15580,0
Tsunami,"Northern America",Natural,3,88,0,0,0,0,900
Tsunami,Polynesia,Natural,3,186,8275,317,0,8592,159500
Tsunami,"Russian Federation",Natural,2,2318,0,0,0,0,0
Tsunami,"South America",Natural,2,107,0,2,750,752,0
Tsunami,"South-Eastern Asia",Natural,14,177400,117502,10299,540489,668290,6506600
Tsunami,"Southern Asia",Natural,4,51892,1175729,32303,493000,1701032,3309400
Tsunami,"Western Europe",Natural,1,11,0,2,0,2,0
"Viral disease","Australia and New Zealand",Natural,3,6700,7,0,0,7,0
"Viral disease",Caribbean,Natural,16,129,135856,0,0,135856,0
"Viral disease","Central America",Natural,31,425,216934,0,0,216934,7
"Viral disease","Central Asia",Natural,4,21,1028,141,0,1169,0
"Viral disease","Eastern Africa",Natural,46,2953,327865,1432,0,329297,0
"Viral disease","Eastern Asia",Natural,14,765,2305447,0,0,2305447,0
"Viral disease","Eastern Europe",Natural,9,33,8147,0,0,8147,0
"Viral disease",Melanesia,Natural,7,321,10934,0,0,10934,0
"Viral disease","Middle Africa",Natural,52,6024,594994,113,0,595107,0
"Viral disease","Northern Africa",Natural,10,2190,23747,0,0,23747,0
"Viral disease","Northern America",Natural,7,50743,2011949,0,0,2011949,0
